26-04-10 23:21:43.146 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-10 23:21:43.155 : 训练集大小: 1120
26-04-10 23:21:43.156 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-10 23:21:44.359 : Number of parameter: 3.25M
26-04-10 23:21:44.360 : start training...
26-04-10 23:24:06.815 : epoch:[1/1000], 平均loss: 0.0735
26-04-10 23:26:27.057 : epoch:[2/1000], 平均loss: 0.0399
26-04-10 23:28:54.477 : epoch:[3/1000], 平均loss: 0.0349
26-04-10 23:31:23.132 : epoch:[4/1000], 平均loss: 0.0322
26-04-10 23:33:41.918 : epoch:[5/1000], 平均loss: 0.0310
26-04-10 23:35:58.104 : epoch:[6/1000], 平均loss: 0.0301
26-04-10 23:38:14.893 : epoch:[7/1000], 平均loss: 0.0291
26-04-10 23:40:31.263 : epoch:[8/1000], 平均loss: 0.0290
26-04-10 23:42:47.410 : epoch:[9/1000], 平均loss: 0.0281
26-04-10 23:45:02.454 : epoch:[10/1000], 平均loss: 0.0275
26-04-10 23:48:22.268 : [epoch 10 PSNR: 30.2380 Best: 30.2380]
26-04-10 23:50:37.861 : epoch:[11/1000], 平均loss: 0.0272
26-04-10 23:52:53.328 : epoch:[12/1000], 平均loss: 0.0273
26-04-10 23:55:08.388 : epoch:[13/1000], 平均loss: 0.0268
26-04-10 23:57:24.113 : epoch:[14/1000], 平均loss: 0.0266
26-04-10 23:59:40.182 : epoch:[15/1000], 平均loss: 0.0266
26-04-11 00:01:56.624 : epoch:[16/1000], 平均loss: 0.0268
26-04-11 00:04:12.124 : epoch:[17/1000], 平均loss: 0.0260
26-04-11 00:06:27.070 : epoch:[18/1000], 平均loss: 0.0260
26-04-11 00:08:43.819 : epoch:[19/1000], 平均loss: 0.0259
26-04-11 00:11:00.064 : epoch:[20/1000], 平均loss: 0.0258
26-04-11 00:14:19.383 : [epoch 20 PSNR: 30.5997 Best: 30.5997]
26-04-11 00:16:35.777 : epoch:[21/1000], 平均loss: 0.0258
26-04-11 00:18:52.198 : epoch:[22/1000], 平均loss: 0.0255
26-04-11 00:21:09.857 : epoch:[23/1000], 平均loss: 0.0258
26-04-11 00:23:26.583 : epoch:[24/1000], 平均loss: 0.0257
26-04-11 00:25:43.288 : epoch:[25/1000], 平均loss: 0.0254
26-04-11 00:27:58.714 : epoch:[26/1000], 平均loss: 0.0254
26-04-11 00:30:15.051 : epoch:[27/1000], 平均loss: 0.0253
26-04-11 00:32:31.694 : epoch:[28/1000], 平均loss: 0.0252
26-04-11 00:34:48.437 : epoch:[29/1000], 平均loss: 0.0251
26-04-11 00:37:05.476 : epoch:[30/1000], 平均loss: 0.0250
26-04-11 00:40:25.575 : [epoch 30 PSNR: 30.9530 Best: 30.9530]
26-04-11 00:42:41.148 : epoch:[31/1000], 平均loss: 0.0248
26-04-11 00:44:56.512 : epoch:[32/1000], 平均loss: 0.0249
26-04-11 00:47:12.331 : epoch:[33/1000], 平均loss: 0.0249
26-04-11 00:49:28.973 : epoch:[34/1000], 平均loss: 0.0249
26-04-11 00:51:47.560 : epoch:[35/1000], 平均loss: 0.0247
26-04-11 00:54:04.798 : epoch:[36/1000], 平均loss: 0.0249
26-04-11 00:56:20.259 : epoch:[37/1000], 平均loss: 0.0247
26-04-11 00:58:35.918 : epoch:[38/1000], 平均loss: 0.0246
26-04-11 01:00:51.298 : epoch:[39/1000], 平均loss: 0.0244
26-04-11 01:03:07.965 : epoch:[40/1000], 平均loss: 0.0245
26-04-11 01:06:26.795 : [epoch 40 PSNR: 31.0421 Best: 31.0421]
26-04-11 01:08:42.795 : epoch:[41/1000], 平均loss: 0.0243
26-04-11 01:10:58.561 : epoch:[42/1000], 平均loss: 0.0245
26-04-11 01:13:13.914 : epoch:[43/1000], 平均loss: 0.0246
26-04-11 01:15:29.294 : epoch:[44/1000], 平均loss: 0.0246
26-04-11 01:17:45.742 : epoch:[45/1000], 平均loss: 0.0245
26-04-11 01:20:02.263 : epoch:[46/1000], 平均loss: 0.0245
26-04-11 01:22:19.124 : epoch:[47/1000], 平均loss: 0.0243
26-04-11 01:24:35.712 : epoch:[48/1000], 平均loss: 0.0245
26-04-11 01:26:51.115 : epoch:[49/1000], 平均loss: 0.0245
26-04-11 01:29:07.537 : epoch:[50/1000], 平均loss: 0.0242
26-04-11 01:32:27.090 : [epoch 50 PSNR: 31.0499 Best: 31.0499]
26-04-11 01:34:42.857 : epoch:[51/1000], 平均loss: 0.0242
26-04-11 01:36:58.351 : epoch:[52/1000], 平均loss: 0.0244
26-04-11 01:39:14.337 : epoch:[53/1000], 平均loss: 0.0242
26-04-11 01:41:29.488 : epoch:[54/1000], 平均loss: 0.0240
26-04-11 01:43:45.933 : epoch:[55/1000], 平均loss: 0.0242
26-04-11 01:46:02.469 : epoch:[56/1000], 平均loss: 0.0242
26-04-11 01:48:19.160 : epoch:[57/1000], 平均loss: 0.0240
26-04-11 01:50:35.847 : epoch:[58/1000], 平均loss: 0.0243
26-04-11 01:52:52.495 : epoch:[59/1000], 平均loss: 0.0244
26-04-11 01:55:09.134 : epoch:[60/1000], 平均loss: 0.0241
26-04-11 01:58:28.758 : [epoch 60 PSNR: 31.0880 Best: 31.0880]
26-04-11 02:00:45.532 : epoch:[61/1000], 平均loss: 0.0242
26-04-11 02:03:02.172 : epoch:[62/1000], 平均loss: 0.0243
26-04-11 02:05:18.786 : epoch:[63/1000], 平均loss: 0.0242
26-04-11 02:07:35.454 : epoch:[64/1000], 平均loss: 0.0241
26-04-11 02:09:52.182 : epoch:[65/1000], 平均loss: 0.0242
26-04-11 02:12:08.817 : epoch:[66/1000], 平均loss: 0.0242
26-04-11 02:14:24.000 : epoch:[67/1000], 平均loss: 0.0241
26-04-11 02:16:39.325 : epoch:[68/1000], 平均loss: 0.0241
26-04-11 02:18:56.140 : epoch:[69/1000], 平均loss: 0.0240
26-04-11 02:21:12.851 : epoch:[70/1000], 平均loss: 0.0241
26-04-11 02:24:32.769 : [epoch 70 PSNR: 31.1540 Best: 31.1540]
26-04-11 02:26:48.362 : epoch:[71/1000], 平均loss: 0.0239
26-04-11 02:29:04.953 : epoch:[72/1000], 平均loss: 0.0241
26-04-11 02:31:21.527 : epoch:[73/1000], 平均loss: 0.0242
26-04-11 02:33:38.188 : epoch:[74/1000], 平均loss: 0.0242
26-04-11 02:35:54.677 : epoch:[75/1000], 平均loss: 0.0240
26-04-11 02:38:11.337 : epoch:[76/1000], 平均loss: 0.0241
26-04-11 02:40:28.015 : epoch:[77/1000], 平均loss: 0.0242
26-04-11 02:42:44.421 : epoch:[78/1000], 平均loss: 0.0239
26-04-11 02:44:59.595 : epoch:[79/1000], 平均loss: 0.0239
26-04-11 02:47:14.983 : epoch:[80/1000], 平均loss: 0.0240
26-04-11 02:50:35.698 : [epoch 80 PSNR: 31.1843 Best: 31.1843]
26-04-11 02:52:52.590 : epoch:[81/1000], 平均loss: 0.0242
26-04-11 02:55:09.443 : epoch:[82/1000], 平均loss: 0.0241
26-04-11 02:57:26.106 : epoch:[83/1000], 平均loss: 0.0238
26-04-11 02:59:41.369 : epoch:[84/1000], 平均loss: 0.0239
26-04-11 03:01:56.836 : epoch:[85/1000], 平均loss: 0.0239
26-04-11 03:04:12.282 : epoch:[86/1000], 平均loss: 0.0240
26-04-11 03:06:27.755 : epoch:[87/1000], 平均loss: 0.0239
26-04-11 03:08:43.357 : epoch:[88/1000], 平均loss: 0.0239
26-04-11 03:10:59.916 : epoch:[89/1000], 平均loss: 0.0238
26-04-11 03:13:16.533 : epoch:[90/1000], 平均loss: 0.0241
26-04-11 03:16:36.270 : [epoch 90 PSNR: 31.2303 Best: 31.2303]
26-04-11 03:18:52.105 : epoch:[91/1000], 平均loss: 0.0240
26-04-11 03:21:07.730 : epoch:[92/1000], 平均loss: 0.0239
26-04-11 03:23:23.347 : epoch:[93/1000], 平均loss: 0.0240
26-04-11 03:25:39.397 : epoch:[94/1000], 平均loss: 0.0238
26-04-11 03:27:56.563 : epoch:[95/1000], 平均loss: 0.0240
26-04-11 03:30:13.064 : epoch:[96/1000], 平均loss: 0.0240
26-04-11 03:32:29.235 : epoch:[97/1000], 平均loss: 0.0239
26-04-11 03:34:45.098 : epoch:[98/1000], 平均loss: 0.0241
26-04-11 03:37:01.879 : epoch:[99/1000], 平均loss: 0.0241
26-04-11 03:39:18.834 : epoch:[100/1000], 平均loss: 0.0238
26-04-11 03:42:39.256 : [epoch 100 PSNR: 31.1345 Best: 31.2303]
26-04-11 03:44:55.076 : epoch:[101/1000], 平均loss: 0.0237
26-04-11 03:47:10.567 : epoch:[102/1000], 平均loss: 0.0238
26-04-11 03:49:26.078 : epoch:[103/1000], 平均loss: 0.0240
26-04-11 03:51:41.723 : epoch:[104/1000], 平均loss: 0.0238
26-04-11 03:53:57.035 : epoch:[105/1000], 平均loss: 0.0239
26-04-11 03:56:12.546 : epoch:[106/1000], 平均loss: 0.0238
26-04-11 03:58:28.105 : epoch:[107/1000], 平均loss: 0.0238
26-04-11 04:00:43.556 : epoch:[108/1000], 平均loss: 0.0237
26-04-11 04:03:00.276 : epoch:[109/1000], 平均loss: 0.0239
26-04-11 04:05:16.850 : epoch:[110/1000], 平均loss: 0.0241
26-04-11 04:08:36.552 : [epoch 110 PSNR: 31.2114 Best: 31.2303]
26-04-11 04:10:53.523 : epoch:[111/1000], 平均loss: 0.0237
26-04-11 04:13:09.191 : epoch:[112/1000], 平均loss: 0.0240
26-04-11 04:15:24.639 : epoch:[113/1000], 平均loss: 0.0238
26-04-11 04:17:39.969 : epoch:[114/1000], 平均loss: 0.0239
26-04-11 04:19:55.648 : epoch:[115/1000], 平均loss: 0.0240
26-04-11 04:22:11.244 : epoch:[116/1000], 平均loss: 0.0239
26-04-11 04:24:26.850 : epoch:[117/1000], 平均loss: 0.0238
26-04-11 04:26:43.539 : epoch:[118/1000], 平均loss: 0.0237
26-04-11 04:28:59.166 : epoch:[119/1000], 平均loss: 0.0240
26-04-11 04:31:15.879 : epoch:[120/1000], 平均loss: 0.0238
26-04-11 04:34:35.194 : [epoch 120 PSNR: 31.2347 Best: 31.2347]
26-04-11 04:36:52.089 : epoch:[121/1000], 平均loss: 0.0237
26-04-11 04:39:08.837 : epoch:[122/1000], 平均loss: 0.0238
26-04-11 04:41:25.476 : epoch:[123/1000], 平均loss: 0.0239
26-04-11 04:43:41.112 : epoch:[124/1000], 平均loss: 0.0239
26-04-11 04:45:56.800 : epoch:[125/1000], 平均loss: 0.0236
26-04-11 04:48:12.272 : epoch:[126/1000], 平均loss: 0.0238
26-04-11 04:50:35.869 : epoch:[127/1000], 平均loss: 0.0239
26-04-11 04:52:51.750 : epoch:[128/1000], 平均loss: 0.0238
26-04-11 04:55:07.582 : epoch:[129/1000], 平均loss: 0.0235
26-04-11 04:57:23.297 : epoch:[130/1000], 平均loss: 0.0237
26-04-11 05:00:43.311 : [epoch 130 PSNR: 31.2935 Best: 31.2935]
26-04-11 05:03:00.308 : epoch:[131/1000], 平均loss: 0.0239
26-04-11 05:05:16.975 : epoch:[132/1000], 平均loss: 0.0239
26-04-11 05:07:33.773 : epoch:[133/1000], 平均loss: 0.0237
26-04-11 05:09:50.572 : epoch:[134/1000], 平均loss: 0.0238
26-04-11 05:12:07.363 : epoch:[135/1000], 平均loss: 0.0236
26-04-11 05:14:23.421 : epoch:[136/1000], 平均loss: 0.0236
26-04-11 05:16:39.641 : epoch:[137/1000], 平均loss: 0.0238
26-04-11 05:18:56.212 : epoch:[138/1000], 平均loss: 0.0238
26-04-11 05:21:12.929 : epoch:[139/1000], 平均loss: 0.0236
26-04-11 05:23:28.747 : epoch:[140/1000], 平均loss: 0.0236
26-04-11 05:27:07.457 : [epoch 140 PSNR: 31.2725 Best: 31.2935]
26-04-11 05:29:39.437 : epoch:[141/1000], 平均loss: 0.0238
26-04-11 05:32:03.956 : epoch:[142/1000], 平均loss: 0.0236
26-04-11 05:34:42.028 : epoch:[143/1000], 平均loss: 0.0237
26-04-11 05:37:06.102 : epoch:[144/1000], 平均loss: 0.0236
26-04-11 05:39:29.832 : epoch:[145/1000], 平均loss: 0.0236
26-04-11 05:41:53.893 : epoch:[146/1000], 平均loss: 0.0238
26-04-11 05:44:23.658 : epoch:[147/1000], 平均loss: 0.0239
26-04-11 05:46:54.383 : epoch:[148/1000], 平均loss: 0.0238
26-04-11 05:49:17.829 : epoch:[149/1000], 平均loss: 0.0238
26-04-11 05:51:41.776 : epoch:[150/1000], 平均loss: 0.0237
26-04-11 05:55:08.570 : [epoch 150 PSNR: 31.2199 Best: 31.2935]
26-04-11 05:57:32.228 : epoch:[151/1000], 平均loss: 0.0238
26-04-11 06:00:02.011 : epoch:[152/1000], 平均loss: 0.0239
26-04-11 06:02:25.549 : epoch:[153/1000], 平均loss: 0.0235
26-04-11 06:04:55.456 : epoch:[154/1000], 平均loss: 0.0236
26-04-11 06:07:25.844 : epoch:[155/1000], 平均loss: 0.0237
26-04-11 06:09:54.700 : epoch:[156/1000], 平均loss: 0.0237
